,Side,Size,Price
1122,Sell,110,10789
1123,Sell,500,10780
1124,Sell,29,10776.5
1125,Sell,90,10775
1126,Sell,429,10774.5
1127,Sell,2058,10767.5
1128,Sell,131,10764.5
1129,Sell,600,10762
1130,Sell,32,10760.5
1131,Sell,95,10760
1132,Sell,102,10757
1133,Sell,200,10756
1134,Sell,200,10753
1135,Sell,57040,10750
1136,Sell,1040,10749.5
1137,Sell,600,10747.5
1138,Sell,850,10743
1139,Sell,139,10740
1140,Sell,45,10730
1141,Sell,1536,10726.5
1142,Sell,872,10724
1143,Sell,2000,10722
1144,Sell,3600,10720
1145,Sell,50,10718
1146,Sell,10,10712
1147,Sell,30,10705.5
1148,Sell,270,10703
1149,Sell,666,10700.5
